Symbols per frame
257 400000
310 400000
361 400000
414 400000
466 400000
518 400000
570 400000
625 400000
674 400000
727 400000
778 400000
830 400000
882 400000
935 400000
987 400000
1000 400000
1039 400000
1091 400000
1144 400000
1196 400000
1248 400000
1300 400000
1352 400000
1404 400000
1456 400000
1508 400000
1560 400000
1613 400000
1664 400000
1717 400000
1769 400000
1821 400000
1873 400000
1925 400000
1978 400000
2000 400000
2030 400000
2082 400000
2135 400000
2187 400000
2239 400000
2294 400000
2344 400000
2398 400000
2447 400000
2500 400000
2552 400000
2604 400000
2657 400000
2709 400000
2763 400000
2816 400000
2868 400000
2920 400000
2973 400000
3000 400000
3031 400000
3077 400000
3129 400000
3181 400000
3234 400000
3286 400000
3338 400000
3391 400000
3443 400000
3498 400000
3547 400000
3599 400000
3651 400000
3703 400000
3756 400000
3808 400000
3860 400000
3912 400000
3965 400000
4000 400000
4017 400000
4069 400000
4121 400000
4173 400000
4232 400000
4278 400000
4331 400000
4382 400000
4434 400000
4487 400000
4539 400000
4593 400000
4643 400000
4698 400000
4748 400000
4803 400000
4856 400000
4908 400000
4961 400000
5001 400000
5012 400000
5064 400000
5116 400000
5169 400000
5221 400000
5273 400000
5327 400000
5378 400000
5431 400000
5483 400000
5535 400000
5587 400000
5639 400000
5698 400000
5744 400000
5796 400000
5848 400000
5900 400000
5953 400000
6001 400000
6005 400000
6057 400000
6110 400000
6164 400000
6215 400000
6267 400000
6320 400000
6372 400000
6424 400000
6476 400000
6528 400000
6581 400000
6633 400000
6685 400000
6737 400000
6789 400000
6841 400000
6900 400000
6946 400000
6998 400000
7051 400000
7102 400000
7155 400000
7207 400000
7259 400000
7311 400000
7364 400000
7416 400000
7468 400000
7520 400000
7573 400000
7626 400000
7678 400000
7732 400000
7783 400000
7835 400000
7887 400000
7939 400000
7992 400000
8001 400000
8044 400000
8095 400000
8148 400000
8200 400000
8253 400000
8305 400000
8357 400000
8409 400000
8461 400000
8514 400000
8566 400000
8618 400000
8670 400000
8723 400000
8775 400000
8827 400000
8880 400000
8932 400000
8984 400000
9001 400000
9036 400000
9088 400000
9140 400000
9193 400000
9245 400000
9298 400000
9350 400000
9403 400000
9456 386932
9507 400000
9565 400000
9613 400000
9666 400000
9718 400000
9770 400000
9823 400000
9875 400000
9927 400000
9979 400000
10001 400000
10032 400000
10083 400000
10136 386932
10192 400000
10244 400000
10296 400000
10348 400000
10400 400000
10453 400000
10506 400000
10557 400000
10609 400000
10661 400000
10714 386932
10766 400000
10818 400000
10870 400000
10922 400000
10974 400000
11001 400000
11032 400000
11080 400000
11132 400000
11184 400000
11236 400000
11289 400000
11341 400000
11398 400000
11445 400000
11497 400000
11549 400000
11602 400000
11662 400000
11715 400000
11767 400000
11819 386932
11871 400000
11923 400000
11976 400000
12001 400000
12031 400000
12080 400000
12132 400000
12185 400000
12237 400000
12289 400000
